id,insurer_id,relationship
70001,40184,child
70002,40092,friend
70003,40233,spouse
70004,40058,spouse
70005,40088,friend
70006,40170,child
70007,40194,parent
70008,40079,spouse
70009,40466,sibling
70010,40061,child
70011,40413,spouse
70012,40237,spouse
70013,40273,friend
70014,40484,parent
70015,40317,friend
70016,40371,child
70017,40384,child
70018,40273,parent
70019,40217,child
70020,40391,sibling
70021,40337,sibling
70022,40453,sibling
70023,40249,child
70024,40523,child
70025,40063,parent
70026,40485,child
70027,40281,spouse
70028,40132,friend
70029,40135,spouse
70030,40124,child
70031,40408,parent
70032,40449,sibling
70033,40402,sibling
70034,40128,spouse
70035,40097,friend
70036,40485,spouse
70037,40330,parent
70038,40526,parent
70039,40274,spouse
70040,40390,parent
70041,40076,friend
70042,40270,parent
70043,40241,spouse
70044,40050,friend
70045,40156,sibling
70046,40435,sibling
70047,40428,sibling
70048,40409,parent
70049,40297,child
70050,40341,spouse
70051,40126,parent
70052,40100,spouse
70053,40430,sibling
70054,40486,sibling
70055,40097,parent
70056,40273,parent
70057,40345,parent
70058,40365,parent
70059,40407,sibling
70060,40269,friend
70061,40311,spouse
70062,40388,friend
70063,40504,spouse
70064,40388,child
70065,40350,parent
70066,40264,child
70067,40276,friend
70068,40123,parent
70069,40280,parent
70070,40267,spouse
70071,40490,sibling
70072,40571,spouse
70073,40238,spouse
70074,40139,spouse
70075,40264,child
70076,40202,friend
70077,40154,sibling
70078,40201,parent
70079,40335,child
70080,40141,sibling
70081,40244,sibling
70082,40402,parent
70083,40537,parent
70084,40369,spouse
70085,40245,sibling
70086,40169,sibling
70087,40271,friend
70088,40211,parent
70089,40483,sibling
70090,40178,friend
70091,40269,parent
70092,40255,friend
70093,40130,friend
70094,40477,parent
70095,40177,friend
70096,40284,friend
70097,40247,spouse
70098,40560,child
70099,40331,sibling
70100,40282,friend
70101,40552,spouse
70102,40404,friend
70103,40554,spouse
70104,40131,friend
70105,40257,parent
70106,40444,parent
70107,40198,child
70108,40519,parent
70109,40520,child
70110,40508,sibling
70111,40485,sibling
70112,40152,spouse
70113,40438,friend
70114,40183,spouse
70115,40460,child
70116,40508,spouse
70117,40511,sibling
70118,40385,sibling
70119,40515,child
70120,40457,sibling
70121,40357,friend
70122,40304,child
70123,40492,child
70124,40502,friend
70125,40422,friend
70126,40140,child
70127,40439,friend
70128,40457,sibling
70129,40406,child
70130,40162,spouse
70131,40291,child
70132,40534,child
70133,40599,sibling
70134,40282,child
70135,40234,sibling
70136,40494,spouse
70137,40601,spouse
70138,40605,spouse
70139,40456,spouse
70140,40525,child
70141,40289,sibling
70142,40370,sibling
70143,40325,spouse
70144,40152,spouse
70145,40578,sibling
70146,40269,child
70147,40595,friend
70148,40428,sibling
70149,40589,sibling
70150,40393,spouse
70151,40231,sibling
70152,40206,sibling
70153,40246,spouse
70154,40156,friend
70155,40212,child
70156,40470,friend
70157,40562,parent
70158,40528,parent
70159,40400,child
70160,40341,child
70161,40186,spouse
70162,40275,spouse
70163,40359,sibling
70164,40385,spouse
70165,40255,parent
70166,40413,spouse
70167,40643,spouse
70168,40346,friend
70169,40606,sibling
70170,40271,parent
70171,40214,sibling
70172,40667,spouse
70173,40344,child
70174,40201,friend
70175,40330,spouse
70176,40639,friend
70177,40640,friend
70178,40377,parent
70179,40371,spouse
70180,40276,child
70181,40668,parent
70182,40360,spouse
70183,40343,spouse
70184,40555,parent
70185,40369,sibling
70186,40640,spouse
70187,40434,sibling
70188,40331,sibling
70189,40341,parent
70190,40686,spouse
70191,40583,friend
70192,40608,spouse
70193,40309,sibling
70194,40498,sibling
70195,40678,parent
70196,40654,spouse
70197,40623,child
70198,40212,spouse
70199,40624,sibling
70200,40513,sibling
70201,40546,parent
70202,40360,sibling
70203,40637,parent
70204,40368,child
70205,40509,sibling
70206,40454,spouse
70207,40612,friend
70208,40346,parent
70209,40438,sibling
70210,40425,parent
70211,40553,sibling
70212,40597,spouse
70213,40310,spouse
70214,40260,child
70215,40639,child
70216,40466,sibling
70217,40465,parent
70218,40445,sibling
70219,40441,parent
70220,40461,sibling
70221,40651,spouse
70222,40272,friend
70223,40290,parent
70224,40496,spouse
70225,40244,sibling
70226,40325,friend
70227,40664,sibling
70228,40560,sibling
70229,40368,spouse
70230,40314,friend
70231,40261,sibling
70232,40427,spouse
70233,40312,spouse
70234,40341,friend
70235,40359,child
70236,40592,sibling
70237,40257,sibling
70238,40263,parent
70239,40257,parent
70240,40519,friend
70241,40415,sibling
70242,40658,sibling
70243,40256,spouse
70244,40334,child
70245,40534,friend
70246,40637,child
70247,40412,child
70248,40651,parent
70249,40324,child
70250,40486,child
70251,40459,spouse
70252,40330,friend
70253,40410,child
70254,40307,friend
70255,40481,parent
70256,40303,sibling
70257,40629,child
70258,40697,spouse
70259,40755,friend
70260,40408,sibling
70261,40346,sibling
70262,40585,spouse
70263,40405,child
70264,40295,friend
70265,40524,sibling
70266,40573,parent
70267,40706,friend
70268,40438,parent
70269,40342,friend
70270,40425,parent
70271,40297,parent
70272,40497,parent
70273,40637,child
70274,40410,friend
70275,40770,spouse
70276,40512,parent
70277,40598,sibling
70278,40479,parent
70279,40689,spouse
70280,40537,friend
70281,40606,sibling
70282,40701,sibling
70283,40289,friend
70284,40466,child
70285,40454,sibling
70286,40310,friend
70287,40678,spouse
70288,40313,parent
70289,40455,friend
70290,40658,child
70291,40702,child
70292,40526,spouse
70293,40715,parent
70294,40523,sibling
70295,40303,spouse
70296,40673,friend
70297,40763,sibling
70298,40647,friend
70299,40775,friend
70300,40681,sibling
70301,40645,friend
70302,40346,sibling
70303,40458,child
70304,40545,friend
70305,40477,parent
70306,40657,parent
70307,40478,sibling
70308,40431,friend
70309,40486,spouse
70310,40400,spouse
70311,40475,parent
70312,40323,parent
70313,40546,child
70314,40537,friend
70315,40435,parent
70316,40389,friend
70317,40578,spouse
70318,40533,child
70319,40320,child
70320,40526,friend
70321,40672,spouse
70322,40432,friend
70323,40560,child
70324,40474,spouse
70325,40339,sibling
70326,40753,sibling
70327,40725,spouse
70328,40477,spouse
70329,40544,sibling
70330,40382,parent
70331,40350,sibling
70332,40791,friend
70333,40762,parent
70334,40361,spouse
70335,40615,child
70336,40375,friend
70337,40634,sibling
70338,40339,parent
70339,40748,friend
70340,40632,child
70341,40378,child
70342,40412,friend
70343,40491,parent
70344,40503,spouse
70345,40768,child
70346,40450,friend
70347,40547,child
70348,40393,spouse
70349,40810,child
70350,40379,friend
70351,40440,child
70352,40820,spouse
70353,40499,child
70354,40370,parent
70355,40804,sibling
70356,40446,child
70357,40775,sibling
70358,40584,sibling
70359,40637,friend
70360,40465,friend
70361,40525,sibling
70362,40540,spouse
70363,40765,parent
70364,40560,spouse
70365,40539,sibling
70366,40530,parent
70367,40576,friend
70368,40521,spouse
70369,40764,spouse
70370,40561,child
70371,40384,spouse
70372,40492,child
70373,40661,spouse
70374,40584,parent
70375,40443,child
70376,40815,parent
70377,40719,friend
70378,40416,child
70379,40722,friend
70380,40826,parent
70381,40535,friend
70382,40677,spouse
70383,40407,sibling
70384,40749,friend
70385,40689,sibling
70386,40452,sibling
70387,40561,parent
70388,40694,spouse
70389,40556,parent
70390,40875,spouse
70391,40740,sibling
70392,40643,child
70393,40575,child
70394,40757,child
70395,40857,parent
70396,40461,sibling
70397,40498,sibling
70398,40853,sibling
70399,40632,parent
70400,40847,child
70401,40774,spouse
70402,40745,friend
70403,40492,sibling
70404,40693,spouse
70405,40901,sibling
70406,40645,friend
70407,40873,child
70408,40672,parent
70409,40835,child
70410,40547,sibling
70411,40577,friend
70412,40779,sibling
70413,40612,friend
70414,40722,friend
70415,40485,sibling
70416,40911,spouse
70417,40435,spouse
70418,40452,friend
70419,40710,sibling
70420,40715,sibling
70421,40593,spouse
70422,40755,spouse
70423,40896,parent
70424,40865,friend
70425,40698,parent
70426,40853,spouse
70427,40753,child
70428,40545,parent
70429,40529,parent
70430,40518,sibling
70431,40671,parent
70432,40639,friend
70433,40575,friend
70434,40819,spouse
70435,40676,spouse
70436,40642,sibling
70437,40627,parent
70438,40668,parent
70439,40446,child
70440,40573,friend
70441,40772,friend
70442,40470,spouse
70443,40528,child
70444,40700,friend
70445,40677,friend
70446,40723,child
70447,40722,parent
70448,40535,friend
70449,40778,child
70450,40633,parent
70451,40617,sibling
70452,40886,child
70453,40933,sibling
70454,40603,child
70455,40884,parent
70456,40476,friend
70457,40704,parent
70458,40487,spouse
70459,40618,sibling
70460,40891,parent
70461,40667,child
70462,40690,parent
70463,40648,friend
70464,40559,friend
70465,40524,friend
70466,40694,parent
70467,40658,sibling
70468,40966,friend
70469,40541,spouse
70470,40893,friend
70471,40535,child
70472,40860,spouse
70473,40928,parent
70474,40936,sibling
70475,40558,friend
70476,40772,parent
70477,40562,sibling
70478,40782,child
70479,40655,spouse
70480,40889,child
70481,40604,parent
70482,40818,parent
70483,40873,friend
70484,40889,friend
70485,40938,spouse
70486,40772,friend
70487,40931,friend
70488,40548,child
70489,40789,spouse
70490,40601,parent
70491,40619,child
70492,40856,parent
70493,40513,sibling
70494,40648,child
70495,40715,spouse
70496,40799,parent
70497,40969,sibling
70498,40875,sibling
70499,40941,sibling
70500,40919,parent
70501,40890,friend
70502,40680,friend
70503,40606,parent
70504,40836,friend
70505,40505,spouse
70506,40518,spouse
70507,40902,sibling
70508,40910,friend
70509,40547,parent
70510,40904,child
70511,40936,sibling
70512,40950,spouse
70513,40684,sibling
70514,40859,sibling
70515,40717,parent
70516,40985,sibling
70517,40832,friend
70518,40539,spouse
70519,40558,child
70520,40611,sibling
70521,40944,sibling
70522,40694,spouse
70523,40554,parent
70524,40915,parent
70525,40653,sibling
70526,40615,parent
70527,40709,friend
70528,40679,parent
70529,40607,sibling
70530,40940,spouse
70531,40747,child
70532,40929,friend
70533,40778,parent
70534,40589,friend
70535,40709,child
70536,40763,spouse
70537,40673,spouse
70538,40709,sibling
70539,40850,sibling
70540,41028,friend
70541,41028,sibling
70542,40568,child
70543,40561,spouse
70544,40628,parent
70545,40859,parent
70546,40769,parent
70547,40919,spouse
70548,40659,friend
70549,40658,spouse
70550,40778,spouse
70551,41051,child
70552,40990,sibling
70553,40615,sibling
70554,40948,parent
70555,40753,friend
70556,40828,sibling
70557,40958,spouse
70558,40954,child
70559,40715,child
70560,40773,sibling
70561,41050,parent
70562,40571,parent
70563,40635,sibling
70564,40749,friend
70565,40718,friend
70566,40584,sibling
70567,41009,child
70568,41041,sibling
70569,40972,parent
70570,40799,child
70571,40904,spouse
70572,40829,friend
70573,41060,parent
70574,40685,friend
70575,40639,sibling
70576,40612,sibling
70577,40897,spouse
70578,41023,parent
70579,40602,spouse
70580,40966,child
70581,40797,sibling
70582,40947,sibling
70583,40946,friend
70584,40894,sibling
70585,41057,sibling
70586,40875,parent
70587,40751,child
70588,40841,sibling
70589,40995,spouse
70590,40657,friend
70591,40777,spouse
70592,41066,friend
70593,41026,parent
70594,40986,child
70595,40804,sibling
70596,40847,sibling
70597,41097,child
70598,41077,parent
70599,40922,friend
70600,40708,child
70601,41082,spouse
70602,40879,child
70603,41006,spouse
70604,40985,child
70605,40698,sibling
70606,40703,parent
70607,40777,parent
70608,40937,parent
70609,40937,spouse
70610,40939,friend
70611,40949,sibling
70612,41074,friend
70613,40625,friend
70614,40622,friend
70615,40967,parent
70616,41023,spouse
70617,40748,parent
70618,41028,spouse
70619,40740,parent
70620,40796,parent
70621,40629,friend
70622,41054,child
70623,40895,friend
70624,40813,parent
70625,40749,parent
70626,41039,child
70627,40654,child
70628,40685,parent
70629,41109,parent
70630,40821,spouse
70631,40896,sibling
70632,40942,friend
70633,40732,sibling
70634,40933,spouse
70635,40645,child
70636,40968,child
70637,41014,child
70638,40796,friend
70639,40809,child
70640,41036,child
70641,40916,friend
70642,40865,child
70643,41066,parent
70644,40781,friend
70645,41025,spouse
70646,40836,parent
70647,40666,parent
70648,40684,spouse
70649,40869,sibling
70650,41016,friend
70651,40693,child
70652,40854,sibling
70653,40951,sibling
70654,41129,child
70655,40718,friend
70656,40923,child
70657,41153,parent
70658,41085,sibling
70659,40992,child
70660,41061,sibling
70661,41003,spouse
70662,40791,child
70663,40995,friend
70664,41031,parent
70665,41084,child
70666,40866,child
70667,40799,friend
70668,40673,child
70669,41007,sibling
70670,40955,sibling
70671,41114,sibling
70672,40912,parent
70673,41035,child
70674,40771,parent
70675,40843,parent
70676,41072,sibling
70677,40688,sibling
70678,40720,parent
70679,41175,friend
70680,41088,child
70681,41090,spouse
70682,40720,sibling
70683,41165,sibling
70684,40943,child
70685,40863,child
70686,40686,sibling
70687,40993,sibling
70688,40863,parent
70689,40964,spouse
70690,40918,parent
70691,41083,spouse
70692,40885,friend
70693,41138,friend
70694,40705,friend
70695,41184,friend
70696,40870,parent
70697,41194,spouse
70698,40898,friend
70699,41009,child
70700,40867,spouse
70701,41127,parent
70702,40886,child
70703,40918,sibling
70704,41176,sibling
70705,40769,parent
70706,40829,spouse
70707,41173,friend
70708,40867,friend
70709,40771,spouse
70710,40922,sibling
70711,40950,parent
70712,40980,friend
70713,40903,friend
70714,40936,friend
70715,41109,parent
70716,40944,friend
70717,41069,sibling
70718,40845,friend
70719,41204,sibling
70720,41137,friend
70721,41029,friend
70722,41093,child
70723,40829,child
70724,40742,sibling
70725,41208,parent
70726,41140,friend
70727,40938,spouse
70728,41183,spouse
70729,41099,sibling
70730,40927,sibling
70731,41131,child
70732,41088,spouse
70733,41232,friend
70734,40802,parent
70735,41104,sibling
70736,40949,spouse
70737,40940,child
70738,40961,friend
70739,41147,friend
70740,40759,friend
70741,40969,sibling
70742,40917,child
70743,41201,sibling
70744,40836,sibling
70745,40937,child
70746,40816,parent
70747,41208,parent
70748,40911,spouse
70749,41192,sibling
70750,40884,child
70751,40980,sibling
70752,41203,sibling
70753,40950,sibling
70754,40953,parent
70755,40987,spouse
70756,41012,sibling
70757,41223,parent
70758,41121,spouse
70759,41156,friend
70760,41164,parent
70761,41005,sibling
70762,41021,spouse
70763,40930,spouse
70764,40793,spouse
70765,41172,spouse
70766,40868,spouse
70767,40978,child
70768,40965,parent
70769,40914,parent
70770,40999,parent
70771,41114,sibling
70772,41053,spouse
70773,41191,spouse
70774,40999,parent
70775,40839,spouse
70776,41036,sibling
70777,41196,parent
70778,40962,sibling
70779,40998,spouse
70780,40985,spouse
70781,41052,child
70782,41104,spouse
70783,40858,sibling
70784,40863,friend
70785,40796,spouse
70786,41249,parent
70787,40866,parent
70788,40926,parent
70789,41161,parent
70790,41152,sibling
70791,40881,sibling
70792,41231,parent
70793,41161,sibling
70794,41102,friend
70795,41249,sibling
70796,41287,sibling
70797,40992,spouse
70798,40857,child
70799,41000,parent
70800,40815,parent
70801,41032,friend
70802,41222,parent
70803,41227,spouse
70804,41167,child
70805,41025,sibling
70806,41241,child
70807,41060,friend
70808,40820,sibling
70809,41006,spouse
70810,41127,friend
70811,41139,sibling
70812,41199,child
70813,41070,spouse
70814,41183,sibling
70815,41238,parent
70816,40902,child
70817,40858,spouse
70818,40915,sibling
70819,41217,friend
70820,41204,spouse
70821,41149,spouse
70822,40940,child
70823,41175,spouse
70824,41115,child
70825,41270,spouse
70826,40955,friend
70827,41284,sibling
70828,41220,parent
70829,40993,sibling
70830,40947,spouse
70831,40913,child
70832,41283,friend
70833,40889,spouse
70834,41100,friend
70835,41031,sibling
70836,40894,sibling
70837,41214,parent
70838,41004,spouse
70839,41325,friend
70840,40966,sibling
70841,40938,friend
70842,41182,spouse
70843,41099,child
70844,41192,spouse
70845,41162,spouse
70846,41061,friend
70847,40958,parent
70848,41323,sibling
70849,41076,child
70850,41129,child
70851,41262,sibling
70852,40875,spouse
70853,41258,spouse
70854,41324,friend
70855,41206,sibling
70856,41261,parent
70857,41054,sibling
70858,41059,friend
70859,40919,spouse
70860,40939,spouse
70861,41264,child
70862,40947,sibling
70863,40982,parent
70864,41176,parent
70865,40963,spouse
70866,41182,spouse
70867,41000,friend
70868,41136,child
70869,41327,child
70870,41216,friend
70871,40883,child
70872,41298,child
70873,40975,spouse
70874,41146,parent
70875,41123,child
70876,41316,spouse
70877,41183,spouse
70878,41247,friend
70879,40938,spouse
70880,41064,friend
70881,40973,parent
70882,41061,sibling
70883,41079,friend
70884,41064,sibling
70885,41323,spouse
70886,41119,sibling
70887,40962,sibling
70888,41312,sibling
70889,41036,spouse
70890,41147,friend
70891,41302,parent
70892,41224,child
70893,41302,parent
70894,41155,sibling
70895,41192,parent
70896,40997,parent
70897,41212,friend
70898,41386,sibling
70899,41398,child
70900,41260,sibling
70901,41275,parent
70902,40923,friend
70903,41062,child
70904,41175,spouse
70905,41103,sibling
70906,41396,parent
70907,41190,parent
70908,40932,parent
70909,41301,sibling
70910,40989,child
70911,41291,sibling
70912,41264,child
70913,41089,spouse
70914,40980,spouse
70915,41305,sibling
70916,40921,friend
70917,41411,child
70918,41143,spouse
70919,41084,spouse
70920,41399,friend
70921,40956,spouse
70922,41175,parent
70923,41270,spouse
70924,41351,parent
70925,41190,sibling
70926,41087,child
70927,41027,spouse
70928,41126,sibling
70929,41399,spouse
70930,41383,child
70931,41028,sibling
70932,41295,child
70933,41192,child
70934,41208,parent
70935,41355,friend
70936,41021,friend
70937,40984,parent
70938,40984,child
70939,40970,friend
70940,41075,sibling
70941,41265,friend
70942,40978,friend
70943,41117,child
70944,41115,sibling
70945,41093,sibling
70946,41082,sibling
70947,40964,friend
70948,41426,child
70949,41332,child
70950,41272,child
70951,41147,child
70952,40989,friend
70953,41152,parent
70954,41195,spouse
70955,41263,friend
70956,41214,parent
70957,41427,sibling
70958,41189,parent
70959,41168,sibling
70960,41220,parent
70961,41130,friend
70962,41055,parent
70963,41413,sibling
70964,41252,child
70965,41107,spouse
70966,41278,spouse
70967,41210,friend
70968,41086,child
70969,41423,friend
70970,41020,child
70971,41432,child
70972,41362,child
70973,41097,child
70974,41400,parent
70975,41420,sibling
70976,41347,child
70977,41468,spouse
70978,40981,parent
70979,41061,spouse
70980,41096,child
70981,41326,spouse
70982,41409,friend
70983,41176,sibling
70984,41462,child
70985,41314,spouse
70986,41202,spouse
70987,41443,child
70988,41119,friend
70989,41107,spouse
70990,41251,friend
70991,41115,friend
70992,41239,child
70993,41018,spouse
70994,41311,sibling
70995,41381,spouse
70996,41216,child
70997,41452,child
70998,41158,spouse
70999,41007,child
71000,41230,parent
71001,41018,child
71002,41286,friend
71003,41387,spouse
71004,41229,spouse
71005,41093,friend
71006,41075,child
71007,41019,parent
71008,41314,spouse
71009,41327,sibling
71010,41146,child
71011,41032,spouse
71012,41104,spouse
71013,41215,friend
71014,41052,parent
71015,41126,friend
71016,41338,child
71017,41030,child
71018,41482,parent
71019,41298,child
71020,41121,sibling
71021,41191,sibling
71022,41032,sibling
71023,41096,child
71024,41454,child
71025,41489,parent
71026,41127,child
71027,41337,spouse
71028,41120,friend
71029,41396,spouse
71030,41253,child
71031,41356,parent
71032,41356,sibling
71033,41400,sibling
71034,41394,spouse
71035,41128,friend
71036,41092,spouse
71037,41537,parent
71038,41051,parent
71039,41066,spouse
71040,41418,parent
71041,41430,friend
71042,41069,parent
71043,41452,spouse
71044,41394,friend
71045,41082,sibling
71046,41511,sibling
71047,41312,sibling
71048,41232,parent
71049,41230,child
71050,41151,spouse
71051,41127,parent
71052,41376,spouse
71053,41080,sibling
71054,41252,sibling
71055,41340,parent
71056,41191,parent
71057,41468,parent
71058,41130,parent
71059,41069,sibling
71060,41388,friend
71061,41479,spouse
71062,41184,friend
71063,41162,spouse
71064,41288,child
71065,41425,parent
71066,41304,child
71067,41202,friend
71068,41391,parent
71069,41201,parent
71070,41382,spouse
71071,41535,sibling
71072,41489,spouse
71073,41354,spouse
71074,41326,spouse
71075,41404,child
71076,41388,friend
71077,41399,sibling
71078,41248,parent
71079,41553,child
71080,41510,sibling
71081,41468,sibling
71082,41305,parent
71083,41146,parent
71084,41546,spouse
71085,41144,sibling
71086,41244,sibling
71087,41222,friend
71088,41464,parent
71089,41557,sibling
71090,41404,friend
71091,41214,parent
71092,41169,friend
71093,41442,friend
71094,41307,parent
71095,41193,friend
71096,41348,friend
71097,41377,spouse
71098,41551,child
71099,41389,sibling
71100,41111,friend
71101,41418,spouse
71102,41450,friend
71103,41312,spouse
71104,41410,friend
71105,41229,parent
71106,41324,parent
71107,41123,child
71108,41244,parent
71109,41373,child
71110,41448,sibling
71111,41456,sibling
71112,41370,spouse
71113,41400,friend
71114,41393,spouse
71115,41118,child
71116,41162,spouse
71117,41556,sibling
71118,41281,sibling
71119,41479,child
71120,41375,sibling
71121,41198,friend
71122,41170,child
71123,41410,child
71124,41142,friend
71125,41409,friend
71126,41284,child
71127,41335,friend
71128,41262,sibling
71129,41242,child
71130,41144,spouse
71131,41375,child
71132,41224,child
71133,41363,sibling
71134,41187,child
71135,41472,sibling
71136,41385,spouse
71137,41586,spouse
71138,41279,spouse
71139,41404,spouse
71140,41516,child
71141,41563,sibling
71142,41408,sibling
71143,41524,spouse
71144,41391,spouse
71145,41170,sibling
71146,41295,child
71147,41447,friend
71148,41503,sibling
71149,41292,sibling
71150,41334,spouse
71151,41345,sibling
71152,41602,sibling
71153,41351,spouse
71154,41267,friend
71155,41528,child
71156,41546,friend
71157,41553,parent
71158,41301,parent
71159,41587,child
71160,41399,child
71161,41319,spouse
71162,41323,spouse
71163,41478,sibling
71164,41646,spouse
71165,41629,parent
71166,41388,spouse
71167,41431,spouse
71168,41574,friend
71169,41326,sibling
71170,41293,parent
71171,41484,sibling
71172,41382,spouse
71173,41578,child
71174,41370,friend
71175,41412,spouse
71176,41568,friend
71177,41415,friend
71178,41354,parent
71179,41362,spouse
71180,41652,child
71181,41544,parent
71182,41588,spouse
71183,41392,spouse
71184,41572,parent
71185,41525,sibling
71186,41344,spouse
71187,41534,sibling
71188,41460,sibling
71189,41646,parent
71190,41247,spouse
71191,41565,friend
71192,41222,spouse
71193,41691,sibling
71194,41441,sibling
71195,41591,parent
71196,41419,spouse
71197,41487,child
71198,41469,spouse
71199,41605,sibling
71200,41536,sibling
71201,41688,parent
71202,41226,sibling
71203,41408,parent
71204,41242,child
71205,41628,sibling
71206,41473,spouse
71207,41589,friend
71208,41490,parent
71209,41559,sibling
71210,41473,parent
71211,41503,sibling
71212,41683,spouse
71213,41340,spouse
71214,41258,child
71215,41257,child
71216,41643,sibling
71217,41478,parent
71218,41713,sibling
71219,41586,parent
71220,41536,sibling
71221,41671,spouse
71222,41373,friend
71223,41327,parent
71224,41477,spouse
71225,41239,sibling
71226,41692,friend
71227,41610,sibling
71228,41551,sibling
71229,41435,spouse
71230,41327,friend
71231,41308,sibling
71232,41639,spouse
71233,41314,spouse
71234,41585,friend
71235,41482,child
71236,41682,sibling
71237,41368,sibling
71238,41512,parent
71239,41460,parent
71240,41308,friend
71241,41430,sibling
71242,41439,sibling
71243,41555,spouse
71244,41288,child
71245,41586,friend
71246,41486,child
71247,41665,child
71248,41281,parent
71249,41253,child
71250,41276,child
71251,41340,spouse
71252,41689,friend
71253,41735,child
71254,41697,friend
71255,41526,parent
71256,41398,sibling
71257,41267,child
71258,41608,spouse
71259,41402,friend
71260,41405,sibling
71261,41399,sibling
71262,41390,spouse
71263,41391,child
71264,41533,friend
71265,41502,sibling
71266,41298,parent
71267,41399,friend
71268,41362,parent
71269,41678,friend
71270,41272,parent
71271,41646,parent
71272,41738,parent
71273,41481,child
71274,41335,friend
71275,41758,spouse
71276,41694,parent
71277,41342,sibling
71278,41646,parent
71279,41479,spouse
71280,41689,friend
71281,41616,sibling
71282,41693,sibling
71283,41692,friend
71284,41476,child
71285,41677,sibling
71286,41493,friend
71287,41289,spouse
71288,41781,parent
71289,41635,friend
71290,41293,child
71291,41717,child
71292,41374,spouse
71293,41355,parent
71294,41790,sibling
71295,41332,spouse
71296,41351,friend
71297,41349,sibling
71298,41414,friend
71299,41789,friend
71300,41728,sibling
71301,41553,friend
71302,41439,sibling
71303,41351,child
71304,41581,friend
71305,41392,parent
71306,41714,parent
71307,41650,sibling
71308,41543,friend
71309,41787,spouse
71310,41592,spouse
71311,41517,parent
71312,41799,parent
71313,41322,child
71314,41326,friend
71315,41503,parent
71316,41512,friend
71317,41795,spouse
71318,41423,child
71319,41505,child
71320,41484,friend
71321,41474,spouse
71322,41666,friend
71323,41724,child
71324,41739,spouse
71325,41552,sibling
71326,41464,sibling
71327,41339,spouse
71328,41456,spouse
71329,41667,sibling
71330,41417,parent
71331,41481,sibling
71332,41442,friend
71333,41526,parent
71334,41458,spouse
71335,41341,child
71336,41374,friend
71337,41820,sibling
71338,41760,parent
71339,41735,friend
71340,41724,child
71341,41353,child
71342,41520,friend
71343,41819,parent
71344,41776,spouse
71345,41629,child
71346,41828,friend
71347,41840,child
71348,41628,spouse
71349,41385,child
71350,41642,friend
71351,41557,child
71352,41531,spouse
71353,41360,child
71354,41389,parent
71355,41657,sibling
71356,41727,child
71357,41512,sibling
71358,41843,sibling
71359,41430,friend
71360,41746,friend
71361,41753,sibling
71362,41805,spouse
71363,41851,parent
71364,41577,spouse
71365,41516,sibling
71366,41660,parent
71367,41572,friend
71368,41374,spouse
71369,41746,spouse
71370,41630,child
71371,41447,spouse
71372,41691,child
71373,41487,spouse
71374,41699,parent
71375,41579,child
71376,41411,parent
71377,41754,friend
71378,41702,child
71379,41879,friend
71380,41721,parent
71381,41768,friend
71382,41470,spouse
71383,41644,sibling
71384,41578,friend
71385,41561,sibling
71386,41761,sibling
71387,41759,parent
71388,41631,spouse
71389,41477,parent
71390,41578,spouse
71391,41488,sibling
71392,41778,child
71393,41737,child
71394,41486,child
71395,41456,parent
71396,41836,sibling
71397,41725,sibling
71398,41406,sibling
71399,41873,parent
71400,41518,child
71401,41846,spouse
71402,41752,friend
71403,41508,sibling
71404,41592,spouse
71405,41716,sibling
71406,41535,friend
71407,41469,child
71408,41620,parent
71409,41880,child
71410,41740,sibling
71411,41627,friend
71412,41592,sibling
71413,41445,friend
71414,41679,friend
71415,41629,sibling
71416,41450,spouse
71417,41759,spouse
71418,41814,friend
71419,41640,sibling
71420,41459,sibling
71421,41430,spouse
71422,41520,spouse
71423,41819,parent
71424,41825,friend
71425,41856,parent
71426,41488,spouse
71427,41653,child
71428,41770,parent
71429,41432,parent
71430,41855,sibling
71431,41540,parent
71432,41466,friend
71433,41915,friend
71434,41845,spouse
71435,41935,spouse
71436,41445,sibling
71437,41851,parent
71438,41873,parent
71439,41794,child
71440,41578,friend
71441,41687,friend
71442,41601,spouse
71443,41470,child
71444,41723,friend
71445,41695,friend
71446,41593,child
71447,41663,parent
71448,41925,friend
71449,41861,child
71450,41473,parent
71451,41951,sibling
71452,41519,child
71453,41754,sibling
71454,41940,child
71455,41906,parent
71456,41597,friend
71457,41508,parent
71458,41738,spouse
71459,41837,sibling
71460,41705,parent
71461,41561,child
71462,41535,parent
71463,41508,friend
71464,41723,friend
71465,41551,friend
71466,41793,parent
71467,41854,sibling
71468,41586,friend
71469,41764,spouse
71470,41534,friend
71471,41601,child
71472,41590,spouse
71473,41582,parent
71474,41905,sibling
71475,41954,friend
71476,41750,parent
71477,41921,sibling
71478,41623,child
71479,41692,spouse
71480,41734,child
71481,41824,parent
71482,41722,parent
71483,41977,friend
71484,41736,friend
71485,41905,spouse
71486,41703,friend
71487,41672,friend
71488,41545,child
71489,41922,spouse
71490,41770,parent
71491,41655,child
71492,41731,parent
71493,41851,sibling
71494,41920,child
71495,41897,spouse
71496,41818,parent
71497,41510,sibling
71498,41825,sibling
71499,41798,sibling
71500,41564,friend